fot,grade_score,region,filial,subdivision,department,unit,experience
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,15
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,20
45000,159921,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,16
32000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,16
32000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,26
32000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,10
180000,279272,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,28
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,23
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,24
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,12
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент клиентского обслуживания,NA,6
60000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания корпоративных клиентов,19
60000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания корпоративных клиентов,4
70000,200058,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания корпоративных клиентов,8
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания корпоративных клиентов,15
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания корпоративных клиентов,30
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания корпоративных клиентов,4
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания корпоративных клиентов,20
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания корпоративных клиентов,26
55000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,2
55000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,23
70000,200058,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,19
55000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,5
40000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,22
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,10
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,1
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,3
50000,107860,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел обслуживания лизинговых компаний,10
55000,127389,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел операционного мониторинга,22
60000,138191,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел операционного мониторинга,28
120000,155273,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,Отдел операционного мониторинга,26
120000,204685,Moscow,Головная компания,Блок операционного сопровождения,Департамент обслуживания корпоративных клиентов,NA,11
44000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,25
45000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,21
50000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,3
75000,159753,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,21
90000,148951,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,14
55000,159753,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,21
70000,148951,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,2
70000,148951,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,4
165000,215467,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,7
110000,202939,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,4
43000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,15
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел взаиморасчетов с контрагентами,3
55000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,13
60000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,23
50000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,5
50000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,23
50000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,6
65000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,12
65000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,9
120000,178895,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,13
40000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,23
40000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел обеспечения страховой документацией,2
28000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,29
35000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,10
45000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,7
28000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,9
40000,127989,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,18
40000,127989,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,20
40000,127989,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,22
46000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,4
40000,127989,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,12
48000,127989,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,1
40000,127989,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,29
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,15
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,7
28000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,28
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,23
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,23
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,3
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,21
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,29
28000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,29
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,6
28000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,17
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,21
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,27
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,12
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,6
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,21
28000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,19
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,9
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,4
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,8
28000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,28
28000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,17
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,8
28000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,11
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,22
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,9
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,18
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,23
28000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,20
12500,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,12
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,26
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,17
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,10
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,30
12500,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,23
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,5
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,9
30000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,8
15000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,16
25000,78156,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел по работе со страховой документацией,13
35000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,16
35000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,22
80000,193997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,24
60000,142890,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,23
50000,148951,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,26
40000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,22
50000,142890,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,22
50000,142890,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,10
80000,215139,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,17
50000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,14
80000,193997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел подготовки и сопровождения договоров страхования,12
37000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,26
37000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,3
37000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,22
27000,116680,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,13
42000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,27
42000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,8
20000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,25
28000,189412,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,3
20000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,13
20000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,17
70000,142890,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел поддержки дистанционных сервисов и продаж,11
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,20
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,27
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,3
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,29
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,4
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,10
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,12
35000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,14
38000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,15
38000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,22
38000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,12
38000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,8
38000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,10
38000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,3
38000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,9
40000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,26
40000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,8
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,21
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,4
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,2
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,1
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,3
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,3
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,5
32000,90997,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел регистрации страховых случаев,1
50000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,25
40000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,29
55000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,9
60000,117208,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,8
60000,117208,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,16
55000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,12
55000,97058,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,23
70000,127481,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,24
40000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,4
40000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,24
40000,101799,Moscow,Головная компания,Блок операционного сопровождения,Департамент сопровождения партнерских продаж,Отдел сопровождения продаж,11
