Отметка времени;Id;Пол;Возраст;Максимальный рейтинг в Доте;Рейтинг в доте на данный момент;Количество часов в игре (хотя бы примерное);Какое количество игр в среднем ты играешь в неделю? ;У меня ухудшается настроение, если я долго не играю в Доту 2;Почти все свое свободное время я трачу на Доту 2;Я часто играю больше, чем нужно, так как не могу остановиться (регаю новую игру);"Когда я играю в Доту я полностью над ней сосредоточен (не играю ""фо фан"")";С каждой неделей/месяцем я провожу в Доте все больше времени, чем раньше;Я часто регаю некст игру несмотря на дискомфорт (я могу играть голодный, не выспавшийся, в плохом самочувствии и т.д.);Я не рассказываю семье/друзьям о количестве часов, которое я провожу в Доте;Дота позволяет мне забыть о стрессе и жизненных проблемах ирл;Из-за количества часов, проводимых в игре я хуже учусь/работаю/выполняю иные задачи;Каждую игру в доте я играю на победу;Я часто играю в доту фо фан - мне интересен сам процесс игры (пробую разные сборки, новых героев, связки и тд);Если мне откровенно руинят игру тиммейты, я могу заруинить им в ответ;Я могу ливнуть из игры/встать в амулет, если что-то идет не так;У меня есть конкретная цель - апнуть птсы (например: взять 6к mmr или медаль властелина/дивайна/титана);Я играю в доту для того, чтобы побеждать;В доте слишком многое зависит не от меня и моей игры;Если я проигрываю, то это чаще всего связано с плохой игрой тиммейтов;Если бы у меня была сильная команда в каждой игре, я бы почти не проигрывал;Мой возможный птс намного больше, чем мой актуальный ;Я долгое время сижу на одном и том же рейтинге без видимого прогресса;У меня часто пропадает желание играть, когда мои тиммейты играют плохо;MMR - это всего лишь цифра, она не показывает реальный скилл игрока;Напиши трех героев, на которых у тебя сыграно больше всего игр, количество и винрейт на этих персонажах (например: Пудж, 152 игры, 56%):
2021/11/08 3:51:42 PM GMT+3;2361;М;22;2100;1700;2000;1-5 игр (по выходным чисто пару каток);1;1;2;4;2;3;2;3;5;5;2;2;2;3;5;3;2;3;5;5;2;4;"Рики, 101 игра, 61%; Огр, 78 игр, 65%; Андаинг, 63 игры, 65%."
2021/11/08 3:51:48 PM GMT+3;2362;М;29;5700;5000;15000;20-30 игр (каждый день по несколько игр);3;4;1;5;1;5;5;5;5;5;1;5;5;5;5;5;4;5;5;5;5;3;Doom 1500 57% акс 500 47% сенкинг 30%
2021/11/08 3:51:49 PM GMT+3;2363;М;18;2200;2100;2600;6-10 игр (пару дней в неделю стабильно-дота);1;2;2;5;1;3;3;3;2;5;2;1;1;4;5;4;4;4;5;3;2;3;Techies (269 матчей, 63% побед), Undying (159 матчей, 56% побед), Zeus (97 матчей, 60% побед).
2021/11/08 3:51:50 PM GMT+3;2364;М;не обязан 15;не обязан ;не обязан;не обязан 140;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;не обязан
2021/11/08 3:51:52 PM GMT+3;2365;М;17;500;430;200;11-20 игр (почти каждый день по несколько игр);3;3;4;4;2;2;5;3;4;5;2;1;1;4;5;1;1;5;4;1;2;1;"Луна 23 игры 61%; Антимаг 16 игр, 31%; Джаггернаут 11 игр, 27%"
2021/11/08 3:51:56 PM GMT+3;2366;М;19;Хз, не увлекаюсь, последний раз смотрел было около 1.1к;Пока не изменился;+-600-650 часов, считая родительские акки и не считая времени, которое я сидел в меню (около 50 часов минимум);6-10 игр (пару дней в неделю стабильно-дота);2;2;1;4;2;1;1;3;3;4;2;1;1;1;5;3;3;4;1;5;2;3;"Клокверк: 70-76 игр, 61.9%; Сикер: на мамкином акке играл 1000 лет назад, уже не помню точно, но думаю где-то от 40 до 60 игр, считая те, что на сейчас есть на мейне, 59.09%; СФ: в последнее время стал его пикать часто, нравится геймплей на нём, 22 игры и 45.45% винрейта."
2021/11/08 3:51:58 PM GMT+3;2367;М;21;1190;1190;507;20-30 игр (каждый день по несколько игр);2;5;5;5;5;4;5;4;3;5;2;1;1;3;3;2;3;3;4;2;4;3;Марси, 52, 69%. Тини, 49, 55%. Темпларка, 62, 61%
2021/11/08 3:52:00 PM GMT+3;2368;М;19;1730;1730;1400;6-10 игр (пару дней в неделю стабильно-дота);1;2;1;2;2;2;1;1;4;4;3;2;1;1;2;3;3;4;3;3;3;3;"Дизраптор, 35 игры, 54.29%; Шаман, 37 игры, 59.26%; Виверна, 27 игры, 55.56%"
2021/11/08 3:52:01 PM GMT+3;2369;М;24;900;750;1500;20-30 игр (каждый день по несколько игр);1;3;4;3;1;4;4;4;2;4;2;4;1;1;4;4;3;5;3;5;5;4;пудж ~300 53%, легион ~300 55%, рики ~250 56%
2021/11/08 3:52:02 PM GMT+3;2370;М;18,5;1080;1050;725;6-10 игр (пару дней в неделю стабильно-дота);3;1;4;5;2;3;5;1;5;5;1;1;1;5;3;4;3;5;5;1;5;5;"Пугна, 122 игры, 42%
Лион, 93 игры, 52%
Манки кинг, 40 игр, 57%"
2021/11/08 3:52:09 PM GMT+3;2371;М;18;3800;3670;3700;20-30 игр (каждый день по несколько игр);2;4;4;4;2;3;1;4;2;5;2;1;1;5;4;2;2;2;3;3;2;3;"Мортра, 605 игр, 62%; Сф, 364 игр, 52%; Лега, 272 игры, 57%"
2021/11/08 3:52:09 PM GMT+3;2372;М;15;1540;1386;500;1-5 игр (по выходным чисто пару каток);2;1;1;4;3;2;5;3;3;2;4;3;1;1;2;1;2;3;1;3;4;1;Мк 64 33% Земля 40 ~50% Элдер Титан 30 ~60%
2021/11/08 3:52:15 PM GMT+3;2373;М;18;0;0;150;11-20 игр (почти каждый день по несколько игр);3;4;4;5;5;4;4;4;5;5;2;1;1;3;5;3;2;4;2;4;4;3;Лина, 22 игры, 52%
2021/11/08 3:52:16 PM GMT+3;2374;М;21;1460;340;2070;20-30 игр (каждый день по несколько игр);1;1;5;3;5;5;5;1;1;1;1;1;1;4;4;4;2;5;2;5;5;1;(WD 178,45%) (dazzle125,49%) (Lion 80,45%)
2021/11/08 3:52:26 PM GMT+3;2375;М;28;4700;Не играл 3 года и решил поднять аккаунт с 1000 ммр до 3500-4000, на данный момент 1750;Если брать и доту 2 и 1, то в районе 15к;11-20 игр (почти каждый день по несколько игр);2;1;1;4;1;4;2;4;1;5;5;1;1;5;5;1;3;5;3;1;5;5;Медуза 300- 65%,
2021/11/08 3:52:29 PM GMT+3;2376;М;15;1020;980;900;11-20 игр (почти каждый день по несколько игр);2;1;4;2;1;2;5;3;4;4;3;2;1;1;2;4;3;5;4;2;2;5;Сларк 94 игры, 55% , Вивер 49 игр, 55%, Пудж 47 игр, 57%
2021/11/08 3:52:36 PM GMT+3;2377;М;19;4000;3500;6 тысяч;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);1;4;5;5;4;2;4;5;3;5;1;1;2;5;5;4;3;3;3;4;1;2;phantom lancer 163игры, ~65%, anti-mage 287 игр, ~61%, luna 124 игры, ~61%
2021/11/08 3:52:37 PM GMT+3;2378;М;15;1000;500;100;11-20 игр (почти каждый день по несколько игр);2;1;4;3;3;3;4;5;2;3;5;4;2;1;3;2;2;3;2;3;4;4;Witch Doctor, 100 игр, 52% Фурион, 80 игр, 50% Марси, 20 игр, 59%
2021/11/08 3:52:40 PM GMT+3;2379;М;18;2500;на калибровке ;2000;11-20 игр (почти каждый день по несколько игр);2;4;2;5;2;2;1;4;4;5;1;4;2;5;5;4;3;2;5;4;5;1;"witch doctor, +-300 игр, 50+%
sand king, +-200 игр, 50+%
grimstroke, 100+ игр, ~50%"
2021/11/08 3:52:40 PM GMT+3;2380;М;20;3890. Стремлюсь выше;3890;2400-2500;11-20 игр (почти каждый день по несколько игр);1;1;4;5;2;2;3;3;4;5;1;1;1;5;5;1;1;2;3;1;2;5;Худвинк 218 60% Мирана 133 52% Рубик 74 49% (На Миране и Худвинк на Властелинах тяжеловато стало играть. Пересел на Скай Мага)
2021/11/08 3:52:53 PM GMT+3;2381;М;а если въебать и переспросить?;а если въебать и переспросить?;а если въебать и переспросить?;а если въебать и переспросить?;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;а если въебать и переспросить?
2021/11/08 3:52:53 PM GMT+3;2382;М;17;1600;1500;800;20-30 игр (каждый день по несколько игр);3;2;2;2;1;5;3;5;5;4;3;2;1;5;5;4;5;5;5;5;5;3;Хускар, 40 игр, 67%, Пангольер, 22 игры, 63%, Тини, 18 игр, 66%
2021/11/08 3:52:54 PM GMT+3;2383;М;19;3000;2500;Больше 6к со всех аккаунтов;20-30 игр (каждый день по несколько игр);2;5;2;4;1;5;1;5;5;4;1;1;1;5;5;3;2;2;3;2;4;4;Гриммтрок больше 300 игр 57%. Пак 200 игр 52%. Шторм 100 игр 50%
2021/11/08 3:52:56 PM GMT+3;2384;М;20;3350;3080;7500;20-30 игр (каждый день по несколько игр);2;3;2;2;2;5;4;4;2;3;4;1;1;3;4;2;3;5;4;3;5;4;"Инвокер - 388 игры - 40.5%
Кунка - 316 игр - 50.0%
Фантомка- 304 игры - 58.2%"
2021/11/08 3:52:56 PM GMT+3;2385;М;15;1200;650;1000;1-5 игр (по выходным чисто пару каток);1;1;3;4;1;1;5;5;1;5;1;1;1;5;5;1;1;5;5;5;3;3;сф 80 игры 43 течіс) 50 игр 51 винрейт міпо 50 игр 65%
2021/11/08 3:53:05 PM GMT+3;2386;М;19;500;500;2000;11-20 игр (почти каждый день по несколько игр);1;1;2;2;1;1;2;4;1;3;4;3;2;3;3;4;2;3;3;3;3;2;"Пудж, 243 игры, 54%; Обезьяна 42 игры, 51%; Лион 43 игры, 50%"
2021/11/08 3:53:06 PM GMT+3;2387;М;17;4000;3110;4084;6-10 игр (пару дней в неделю стабильно-дота);3;3;5;5;1;1;5;5;1;4;2;5;1;5;5;5;3;5;5;3;5;4;(сф, 457 игры, 58%) (вр, 393 игры, 57%) (инвокер, 389 игры, 51%)
2021/11/08 3:53:13 PM GMT+3;2388;М;29;5100;4820;5982;11-20 игр (почти каждый день по несколько игр);3;2;2;4;2;2;1;4;4;4;4;1;1;2;4;3;3;4;3;4;2;1;"Рубик - 323 игры - 49.8%; WR - 140 игр - 51.4%; BH - 115 игр - 47.8%"
2021/11/08 3:53:14 PM GMT+3;2389;М;16;2100;2020;800;11-20 игр (почти каждый день по несколько игр);2;2;4;3;2;2;1;4;2;4;3;1;1;3;4;3;3;4;3;4;3;3;"Rubick, 155 игры, 44.52%
Shadow Shaman, 132 игры, 54.55%
Grimstroke, 127 игр, 51.18%"
2021/11/08 3:53:19 PM GMT+3;2390;М;18;2000;2000;1800;20-30 игр (каждый день по несколько игр);4;5;5;4;3;3;5;5;5;4;1;1;2;5;5;3;3;4;2;3;5;1;Вк,82 игры, 59%, Фантом лансер, 43 игры, 60%,  Мк, 42 игры, 50%
2021/11/08 3:53:20 PM GMT+3;2391;М;18;2550;1460;3k;20-30 игр (каждый день по несколько игр);3;3;4;3;4;2;2;4;5;4;2;1;1;4;3;4;3;5;5;4;4;2;"SF 173 53%; Meepo 146 50%; MK 82 47%"
2021/11/08 3:53:23 PM GMT+3;2392;М;19;2390;2360;3000;1-5 игр (по выходным чисто пару каток);1;1;1;4;1;1;1;3;2;4;2;1;1;2;3;2;2;2;2;5;3;1;Пудж 395 57 % рубик 152 48.7% Пак 130 54.6%
2021/11/08 3:53:31 PM GMT+3;2393;М;15;1930;1830;4500;20-30 игр (каждый день по несколько игр);2;4;4;3;3;4;3;5;4;3;3;5;1;3;3;4;2;5;5;2;5;4;инвокер 190 игры 44%. пудж,144 игры,52% хускар,117, 53%
2021/11/08 3:53:46 PM GMT+3;2394;М;17;1270;1160;1.4к;6-10 игр (пару дней в неделю стабильно-дота);3;1;1;2;2;3;2;3;4;4;2;1;1;2;3;3;3;4;3;4;4;3;"Bane, 250 игр, 61.60%; Pudge, 115 игр, 45.22%; Grimstroke, 250 игр, 47.73%"
2021/11/08 3:53:48 PM GMT+3;2395;М;21;3600;3600;4150;6-10 игр (пару дней в неделю стабильно-дота);1;5;4;4;5;5;5;4;5;5;2;1;1;5;5;3;3;3;1;1;1;4;"Dazzle,184 игры, 57%; Jakiro,129 игр,49%; Witch Doctor, 128 игр, 54%."
2021/11/08 3:53:56 PM GMT+3;2396;М;25;1030;600;7000;11-20 игр (почти каждый день по несколько игр);2;1;1;4;3;2;1;3;1;4;1;2;1;1;4;3;1;4;1;5;5;1;Некрофос 515 игр 59.4%, Висп 407 игр 53.8%, Вк 239 игр 57,7%
2021/11/08 3:53:59 PM GMT+3;2397;М;16;4170;4140;2500+-;11-20 игр (почти каждый день по несколько игр);2;2;2;3;1;1;4;4;5;3;4;2;2;5;4;3;4;5;5;2;4;5;Войд спирит 140 игр 54% марс 70 игр 53 кентавр 43 игры 62%
2021/11/08 3:54:04 PM GMT+3;2398;М;21;3400;2700;3000;20-30 игр (каждый день по несколько игр);2;3;4;3;3;2;1;5;2;4;2;2;1;2;3;3;3;4;3;4;2;1;Сенд кинг 200+ игр 62% винрейт Вайпер 150+ игр 58% винрейт Марс 50+ игр 62% винрейт
2021/11/08 3:54:12 PM GMT+3;2399;М;17;5639;5426;700;6-10 игр (пару дней в неделю стабильно-дота);2;1;1;3;2;2;3;4;2;4;3;1;1;3;1;4;2;3;3;5;2;3;"Шторм, 124 игры, 61%
Шейкер, 112 игр, 57%
Акс, 93 игры, 47%"
2021/11/08 3:54:12 PM GMT+3;2400;М;17;1800;1800;1500;6-10 игр (пару дней в неделю стабильно-дота);3;3;2;4;1;1;3;1;3;5;2;1;1;4;5;5;3;5;3;4;4;3;Сларк, 83 игры, 51.72%, командир легиона, 65 игр, 70% винрейт, акс, 123 игры, 54% винрейт.
2021/11/08 3:54:15 PM GMT+3;2401;Ж;Возраст *;Максимальный рейтинг в Доте *;Рейтинг в доте на данный момент *;Количество часов в игре (хотя бы примерное) *;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Напиши трех героев, на которых у тебя сыграно больше всего игр, количество и винрейт на этих персонажах (например: Пудж, 152 игры, 56%): *
2021/11/08 3:54:15 PM GMT+3;2402;М;15;1720;1350;+-1000;20-30 игр (каждый день по несколько игр);2;2;2;3;2;4;1;1;2;4;2;2;1;5;4;1;3;4;3;3;2;3;"Войд спирит:60игр, 61%;шторм:55игр,55%;вокер:29игр;62%"
2021/11/08 3:54:21 PM GMT+3;2403;М;19;5300;5100;10к +-;6-10 игр (пару дней в неделю стабильно-дота);1;2;4;2;1;5;5;3;5;2;4;1;3;1;4;2;5;5;3;3;1;4;Тинкер 2к игр 70вр Лина СФ  1к игр 50% вр
2021/11/08 3:54:32 PM GMT+3;2404;М;25;5300;3800;18000;6-10 игр (пару дней в неделю стабильно-дота);2;1;2;5;3;1;5;3;3;5;3;1;1;3;2;1;1;1;3;1;1;3;Спектра, 974 , 78%, Антимаг 576 , 64 %, Гирокоптер 467, 63 % (статистика только из Доты2 , без Доты 1)
2021/11/08 3:54:39 PM GMT+3;2405;М;21;5700;5400;5176;6-10 игр (пару дней в неделю стабильно-дота);3;1;3;2;2;5;5;4;2;5;1;1;1;3;4;2;3;3;2;4;3;3;висп 240 игр 60.8%, мипо 193 56.5%, ланая 112 игр, 50.1%
2021/11/08 3:54:40 PM GMT+3;2406;М;15;2680;2680 мейн, 2130 смурф;2400;11-20 игр (почти каждый день по несколько игр);3;3;5;4;5;3;5;5;4;5;3;4;2;4;4;5;3;5;5;1;5;4;200+ игр на инвокере 47%, бруда 150 игр 73%, рики около 50 70%+
2021/11/08 3:54:41 PM GMT+3;2407;М;19;3620;3500;5000;Больше 30 игр (по много пабликов каждый день);1;2;2;4;1;5;1;5;1;5;2;1;1;5;5;3;2;2;3;2;4;1;Лега: 484 игры, 58.5%. Белка: 323 игры, 53.6%. Рубик: 312 игр, 46.2%. Лион: 235 игр, 54%. Урса:  232 игры, 54.3%
2021/11/08 3:54:45 PM GMT+3;2408;М;25;5700;4630;4500;11-20 игр (почти каждый день по несколько игр);1;1;1;2;1;3;3;3;4;3;2;1;1;1;1;1;2;2;3;1;2;1;mirana 371 57,11%. mireska 301 67,86%. windranger 301 58,93%.
2021/11/08 3:54:48 PM GMT+3;2409;М;20;2050;2050 (медленно апаюсь с 1к);~2500 (делал большие перерывы в год);20-30 игр (каждый день по несколько игр);1;4;2;2;4;5;5;5;4;3;3;4;3;5;5;1;1;5;3;1;4;1;"Сделал новый аккаунт, так как недавно вернулся в игру, а старый был проебал. 
Хускар, 89 игр, 64%.
Дазл 23 игры, 56.5%
Баратрум 21 игра, 71.4%.
Сларк 15 игр, 60%."
2021/11/08 3:54:48 PM GMT+3;2410;М;26;3500;3170;5.5к;11-20 игр (почти каждый день по несколько игр);2;2;2;4;2;3;3;2;3;3;3;3;3;3;3;4;2;4;2;2;2;3;"1. Инвокер, 242 игры, 45% (последняя игра 8 месяцев назад, и в целом за 5.5к часов в доте в рейтине сыграно 1133 матча, когда как в обычках 3619)
2. Врка, 202 игры, 50%
3. Квопа, 161 игра, 49%"
2021/11/08 3:55:00 PM GMT+3;2411;М;25;3600;3300;5000;6-10 игр (пару дней в неделю стабильно-дота);2;1;1;5;1;1;3;4;2;5;2;1;1;5;5;3;4;5;5;2;3;3;Вич доктор 200 игр 60%. Огр Маг 160 игр 52%. Шадоу Шаман 100 игр 50%
2021/11/08 3:55:05 PM GMT+3;2412;Ж;Мой ответ;Мой ответ;Мой ответ;Мой ответ;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Мой ответ
2021/11/08 3:55:14 PM GMT+3;2413;М;17;1960;1680;1469;6-10 игр (пару дней в неделю стабильно-дота);3;1;2;4;1;3;5;5;2;5;2;1;1;5;5;3;3;3;4;2;4;5;Сларк, 46, 47,83%. Раста, 45, 60%. Белка, 40, 67,5%.
2021/11/08 3:55:16 PM GMT+3;2414;Ж;18;рыцарь 4;рыцарь 4;2 000;Больше 30 игр (по много пабликов каждый день);1;4;3;3;3;4;5;3;3;4;3;1;3;2;3;1;1;4;1;5;4;2;"Врка 91 53.85% (уже почти год и более почти не беру её)
Снипер 73 60.27%(последние пол года почти не играю на нем)
Дровка 66 46.97% (мне грустно ((
И хочу добавить Виверну, так очень люблю эту женщину и последнее время часто играла на ней
Виверна 66 53.03%"
2021/11/08 3:55:21 PM GMT+3;2415;М;17;2k;1660;2k;6-10 игр (пару дней в неделю стабильно-дота);3;1;1;3;2;4;3;3;1;4;3;5;4;2;5;3;2;2;4;4;5;5;"axe, 45, 64
troll warlord, 30, 47"
2021/11/08 3:55:29 PM GMT+3;2416;М;24;1500;1500;~1000;6-10 игр (пару дней в неделю стабильно-дота);1;1;5;3;1;1;2;1;5;3;5;1;1;1;1;3;1;4;2;2;1;3;Morphling >100 игр винрейт 51%, Hoodwink >100 игр винрейт ~50%, Ancient Apparition 88 игр винрейт 59%
2021/11/08 3:55:35 PM GMT+3;2417;М;24;4200;3600;9000;6-10 игр (пару дней в неделю стабильно-дота);1;1;1;2;1;1;1;3;1;4;2;2;1;2;4;2;2;4;5;3;2;2;Инвокер, Лансер, Кунка
2021/11/08 3:55:37 PM GMT+3;2418;М;21;5100;4670;5800;11-20 игр (почти каждый день по несколько игр);1;2;1;3;2;1;4;3;2;4;2;1;1;5;4;3;4;5;5;2;3;3;"Так как я играю с 2013 года, статистика не совсем актуальная. Было много наиграно на Пудже и Инвокере, потому что за них интересно и весело играть.
Invoker - 242 игры, 44.63%.
Pudge - 220 игр, 53.18%.
Earthshaker - 155 игр, 60.00%.
Сейчас играю онли на саппортах, в основном 5й позиции."
2021/11/08 3:55:39 PM GMT+3;2419;Ж;27;2770;2600;2342;6-10 игр (пару дней в неделю стабильно-дота);3;4;5;5;1;4;3;4;3;4;3;1;1;1;4;3;3;5;2;4;2;1;"Crystal Maiden, 403 игр,  57.57%
Phoenix, 367 игр, 58.86%
Windranger, 320 игр, 46.88%"
2021/11/08 3:55:53 PM GMT+3;2420;М;18;0 нету 100ч;0 нету 100ч;80ч;1-5 игр (по выходным чисто пару каток);1;1;1;4;1;1;1;1;1;5;3;1;1;3;5;1;1;1;1;1;1;1;slardar 12 игр 75% , phoenix 10 игр 50% ,sandking 10 игр 80%, на остальных героях по 1-5 хочу попробывать всех героев узнать о механиках,скилах и тд
2021/11/08 3:55:55 PM GMT+3;2421;М;17-18;4300;4210;3100;6-10 игр (пару дней в неделю стабильно-дота);1;1;2;4;2;3;2;4;3;4;2;2;2;4;4;3;3;4;4;2;4;4;"АМ, 136 игр, 61%; Легионка, 99 игр,51.5% ; Сларк,95 игр, 63%"
2021/11/08 3:56:02 PM GMT+3;2422;М;22;2000;1900;1500;6-10 игр (пару дней в неделю стабильно-дота);1;3;1;4;1;1;1;1;1;5;5;5;1;4;5;5;2;4;1;5;5;5;Спектра 100 игр +-,  65% винрейт, сларк 200 игр +-,  50%,  фантомка 60 игр +-,  55%,  ещё есть фантом лансер, джагернаут и антимаг,  с чуть меньшем количеством игр, но таким же винрейтом.
2021/11/08 3:56:12 PM GMT+3;2423;М;16;2000;2000;1500;20-30 игр (каждый день по несколько игр);2;4;3;4;2;1;2;4;2;5;1;1;1;5;5;1;2;5;4;1;2;2;"Mid Pugna:64 игр, 56%; Carry Weaver:58 игр, 55%, Carry Lifestealer: 39 игр, 64%"
2021/11/08 3:56:20 PM GMT+3;2424;М;18;5160;4520;>3.5к;6-10 игр (пару дней в неделю стабильно-дота);3;4;5;5;1;1;4;4;4;5;2;1;2;4;5;4;2;3;4;3;2;4;"Dark willow, 763 игры, 57%
Wraith king, 541 игры, 59%
Puck, 140 игры, 56%"
2021/11/08 3:56:24 PM GMT+3;2425;М;15;1200;890;400;20-30 игр (каждый день по несколько игр);2;3;2;5;2;2;1;3;1;3;3;3;2;2;2;2;2;3;2;4;3;4;"Энча ,70 игр,65%
Лион, 51 игра,75%
МК,30 игр 60%"
2021/11/08 3:56:27 PM GMT+3;2426;М;19;2800;1330;1000;11-20 игр (почти каждый день по несколько игр);5;5;5;5;5;5;5;5;5;5;1;1;1;5;5;3;4;5;5;5;1;3;Зевс 67 игр 62%, МК 51% Лион 49игр 46%
2021/11/08 3:56:31 PM GMT+3;2427;М;14;89 часов;89 часов;89;20-30 игр (каждый день по несколько игр);1;5;3;5;4;1;2;4;2;5;1;5;3;5;5;3;4;4;1;1;5;1;"legion commander 5 игр 80% 
SF 6 игр 16%)
sniper 4 игры 25%"
2021/11/08 3:56:35 PM GMT+3;2428;М;15;1000;980;1390;11-20 игр (почти каждый день по несколько игр);2;3;1;4;1;1;1;4;2;2;4;1;1;3;3;4;2;3;2;4;3;3;Пудж,63 игры,60%. Белка,58 игр,57%. Лансер,55 игр,58%.
2021/11/08 3:56:44 PM GMT+3;2429;М;15;3500;2700;5000;Больше 30 игр (по много пабликов каждый день);4;4;5;2;3;5;1;4;5;4;3;1;1;5;5;3;2;2;5;3;3;1;"Тинкер, 453 игры , 67%
СФ, 154, 54%
Инвокер 221, 51%"
2021/11/08 3:56:46 PM GMT+3;2430;М;17;1500;1350;2700;1-5 игр (по выходным чисто пару каток);1;1;3;4;1;2;1;3;2;5;2;3;1;1;3;5;3;3;5;5;4;4;"Виндрэнджер, 105 матчей, 51%
Пудж, 63, 59%
Скаймаг, 62, 56.5%"
2021/11/08 3:56:46 PM GMT+3;2431;М;22;4200;3400;3000;1-5 игр (по выходным чисто пару каток);1;1;2;4;1;1;2;4;3;5;3;1;1;4;4;4;3;3;2;4;3;4;Dazzle, 691g, 58.18%wr || Oracle, 340g, 53.53%wr || Wich Doctor, 284g, 51.76%wr  я гей
2021/11/08 3:56:50 PM GMT+3;2432;М;17;570;330;447;20-30 игр (каждый день по несколько игр);2;2;1;5;4;1;3;4;1;5;3;3;3;4;5;1;1;4;5;3;4;3;"Phantom lancer, 82 games - 50% ; Void spirit, 40 games - 40% ; Lycan, 16 games - 81%"
2021/11/08 3:56:53 PM GMT+3;2433;М;14;390;200;500;1-5 игр (по выходным чисто пару каток);2;1;1;3;2;1;3;3;2;4;3;1;1;2;3;5;3;4;3;5;4;4;"Дровка, 50 игр, ровно 50% (сигнатурка )
Скай Маг, 83 игры, 38.6% ( не мейню, но когда то был сигнатуркой )
Бруда, 45 игр, 64.4% (не играю по понятным причинам, вторая сигнатурка)"
2021/11/08 3:56:54 PM GMT+3;2434;М;30;2300;2010;2300;1-5 игр (по выходным чисто пару каток);3;1;2;4;2;2;2;3;2;5;3;1;1;4;5;3;3;4;2;3;2;2;Spirit Breaker 83 игры, 51.81%. Pudge 64 игры, 40.63% . Silencer 64 игры, 50.00%.
2021/11/08 3:57:18 PM GMT+3;2435;М;15;300)));80(((;750;Больше 30 игр (по много пабликов каждый день);4;5;4;2;3;2;3;5;5;2;4;5;3;3;3;1;2;4;3;5;4;1;я сын шлюхи
2021/11/08 3:57:26 PM GMT+3;2436;М;16;3210;3210;3к часов (играл с 10 лет);11-20 игр (почти каждый день по несколько игр);3;3;2;4;1;1;3;2;2;5;3;1;1;4;4;2;2;3;3;2;1;3;Марс, 57 игры, 59.6% / Энигма, 19игр, 63% / Рубик, 21 игра, 61.9% (я только сейчас открыл общий доступ , дотабафф не показывает матчи. Инфа из самой доты)
2021/11/08 3:57:27 PM GMT+3;2437;М;16;600;Перекалибровка;1500;11-20 игр (почти каждый день по несколько игр);1;4;4;2;1;5;5;5;4;2;4;1;1;4;4;2;4;5;5;1;4;1;"Аппарат 150 55%
Текис 250 60%
Друид 120 58%"
2021/11/08 3:57:35 PM GMT+3;2438;М;26;2000;2000;1000;20-30 игр (каждый день по несколько игр);4;5;4;5;4;3;4;3;3;5;1;2;1;5;5;3;3;5;4;1;4;1;"Storm Spirit  62 59.68%; Void Spirit 52 67.31%; Templar Assassin 48 64.58%"
2021/11/08 3:57:41 PM GMT+3;2439;М;16;1700;1590;1400;11-20 игр (почти каждый день по несколько игр);4;4;5;3;2;5;4;5;5;3;2;2;1;5;4;4;2;5;5;4;4;1;Сенд кинг, 720 игр, 54%. Инвокер, 139 игр, 59%. Мипо, 118, 49%
2021/11/08 3:57:43 PM GMT+3;2440;М;18;5500;5330;6000;Больше 30 игр (по много пабликов каждый день);3;4;1;4;1;3;5;3;2;4;2;4;5;5;5;5;4;5;5;5;5;4;dawnbreaker (63%) nyx (63.3%) axe(54.8%)
2021/11/08 3:57:44 PM GMT+3;2441;М;31;2950;1500;2500;1-5 игр (по выходным чисто пару каток);1;1;4;3;1;2;1;4;4;4;1;4;1;5;5;1;2;2;2;5;1;1;Vk 400+ игр 56.7 джагер 350+ игр 53.5  свен 200+ 50%
2021/11/08 3:57:46 PM GMT+3;2442;М;19;4300;3300;7000;20-30 игр (каждый день по несколько игр);3;3;3;4;3;3;3;5;3;4;2;4;2;4;4;2;2;2;3;2;4;1;"Шторм 230 ,56%
Фантомка 150 67%
Антимаг 180 58%"
2021/11/08 3:57:53 PM GMT+3;2443;М;18;1800;1780;1369;1-5 игр (по выходным чисто пару каток);1;1;1;3;1;2;2;2;2;1;5;2;1;1;1;2;2;2;2;3;2;5;фея 100+ 55+%
2021/11/08 3:58:02 PM GMT+3;2444;М;18;520;420;722.2;1-5 игр (по выходным чисто пару каток);2;3;2;3;2;1;1;1;2;4;2;4;2;3;4;4;4;4;5;5;5;5;Anti-Mage - 122, Nature Prophet - 90, Riki 70
2021/11/08 3:58:07 PM GMT+3;2445;М;17;2800;не играю;2к;20-30 игр (каждый день по несколько игр);2;1;3;1;1;1;5;3;5;1;5;1;1;1;3;4;1;5;1;5;5;1;вк,100+ игр, 80 процентов вин рейт
